_key,Ts,co2ppmCorrected,co2ppmPureSens,humidity,lightStats,pumpStatus,soilHum,soilTemp,temperature,z_counter
-Mn-gG0px4TZnXXjpcYr,1635320402038,26724.92969,40492.4375,87.9,496,0,90,27.9375,28.1,4421
-Mn-gNJCsXT7fwp6QUWW,1635320431885,27676.3418,40492.4375,87.5,531,0,89,27.9375,28.1,4422
-Mn-gUbcTBizypcIzXr2,1635320461801,19794.72461,27716.06641,87.4,530,0,89,27.9375,28.1,4423
-Mn-gatWqUgsqPq9bONk,1635320491617,27082.61328,42287.88281,87.5,528,0,89,27.9375,28.1,4424
-Mn-giALnaPDGbPWx5R-,1635320521430,26481.20508,40055.78906,87.8,528,0,89,27.9375,28,4425
-Mn-gpS9ucuqRbWUzyqc,1635320551243,28916.72852,36333.98047,87.6,523,0,89,27.9375,28,4426
-Mn-gwzhaTHA9p47kz4v,1635320582126,26513.71289,42287.88281,87.6,511,0,89,27.9375,28,4427
-Mn-h3GmRM6mJgZti0Mn,1635320611954,26481.20508,40055.78906,87.8,519,0,89,27.9375,28,4428
-Mn-hAZ1oiz-bQi-6qHl,1635320641794,19751.86719,29258.88281,88.1,518,0,89,27.9375,27.9,4429
-Mn-hHq4n2Yx-yq1RD2-,1635320671622,26460.62695,39196.73438,88.1,505,0,89,27.9375,27.9,4430
-Mn-hP7athI8ay0BTzeD,1635320701478,27007.38672,39196.73438,88.3,507,0,89,27.9375,27.9,4431
-Mn-hWPhL-7VMc2V1EDk,1635320731309,26716.1875,39623.90625,88.3,518,0,89,27.9375,27.9,4432
-Mn-hcw5X5FmILBTud3H,1635320762118,18607.19727,27716.06641,89,501,0,89,27.9375,27.9,4433
-Mn-hkDEX1TROj2zHiaN,1635320791951,26423.8418,39196.73438,88.5,516,0,89,27.9375,27.8,4434
-Mn-hrVQDyX54MEfnv14,1635320821787,26086.62109,40492.4375,89,526,0,89,27.9375,27.7,4435
-Mn-hym8S3ChgdsrgPLC,1635320851594,29681.3457,44164.32031,89,523,0,89,27.9375,27.8,4436
-Mn-i5Y28itJ4R_ozLeM,1635320883396,29301.9082,45627.17578,89.5,528,0,89,27.9375,27.7,4437
-Mn-iCoplYPHQGtQrQ7I,1635320913205,30147.04102,44164.32031,90,535,0,89,27.9375,27.8,4438
-Mn-iKKkU8wHO_RNtPRz,1635320943985,28363.22656,43687.40234,89.5,521,0,90,27.9375,27.7,4439
-Mn-iRb_2kS9sw7H-0dy,1635320973798,29110.52734,40933.91016,88.8,550,0,89,27.9375,27.7,4440
-Mn-iYtHnUlq-kovci8H,1635321003603,27276.08984,41380.26953,88.8,561,0,89,27.9375,27.7,4441
-Mn-if9tMZZRQXVcw8uM,1635321033402,26703.05859,42287.88281,88.9,566,0,89,27.9375,27.6,4442
-Mn-imTB2otHta1Srj7k,1635321063308,19825.96289,29899.5957,89.6,576,0,89,27.9375,27.7,4443
-Mn-itjqxLEUkhc7pMcG,1635321093110,26915.73047,39196.73438,89.2,571,0,89,27.9375,27.7,4444
-Mn-j00hKQZlYG7lPFPU,1635321122926,28428.41406,39623.90625,89.3,573,0,89,27.9375,27.6,4445
-Mn-j7Ww7Ii6f4PEDC90,1635321153660,28000.82617,39623.90625,90,573,0,89,27.875,27.6,4446
-Mn-jEoiVysxy55WrLY6,1635321183534,18993.80664,29899.5957,89.7,573,0,89,27.875,27.6,4447
-Mn-jM7aS93P5M9mpdD4,1635321213478,27966.37109,40492.4375,90.2,570,0,89,27.875,27.6,4448
-Mn-jTPTBfcJEr_Th53B,1635321243295,27681.69336,40492.4375,90.1,560,0,89,27.875,27.6,4449
-Mn-j_gBxBqFaDHzG2VA,1635321273101,28013.4668,40492.4375,90.1,558,0,89,27.875,27.5,4450
-Mn-jgxqdSyjFcCDtSHO,1635321302903,26807.77148,41380.26953,90.2,553,0,89,27.875,27.5,4451
-Mn-joUvZhnYIF1BgUu3,1635321333756,27100.00586,41380.26953,90.2,545,0,89,27.875,27.5,4452
-Mn-jvlejiSF-BPVHWQk,1635321363562,20671.40625,29577.52539,90.2,538,0,89,27.875,27.5,4453
-Mn-k22XWQ3fPhMfnuFv,1635321393379,27083.32617,36333.98047,90.3,533,0,89,27.875,27.5,4454
-Mn-k9KGTLMAEL3F2hn0,1635321423185,26819.875,41831.57031,90.3,528,0,89,27.875,27.4,4455
-Mn-kGbIJovg8cRytubU,1635321453012,29220.27539,40492.4375,90.3,528,0,89,27.875,27.5,4456
-Mn-kNszVnnEema86laN,1635321482815,27672.60547,40492.4375,90.5,503,0,90,27.875,27.4,4457
-Mn-kV9saCAxPNo2bA86,1635321512633,26481.74023,41380.26953,90.6,528,0,89,27.875,27.4,4458
-Mn-kbf0I5EjO05OoFKa,1635321543362,27655.56641,41380.26953,90.6,528,0,89,27.875,27.4,4459
-Mn-kiwlGWHC9x-o4Kz9,1635321573170,28327.17773,42287.88281,90.4,528,0,89,27.875,27.3,4460
-Mn-kqDQ4u5rhCUpRKnf,1635321602972,27374.10742,43687.40234,90.5,530,0,89,27.875,27.4,4461
-Mn-kxV4t0taqwZrNtFk,1635321632774,27957.17969,40492.4375,90.6,528,0,89,27.8125,27.4,4462
-Mn-l3ltuGP6CNpUTtpN,1635321662585,19949.0957,29258.88281,90.7,529,0,89,27.875,27.5,4463
-Mn-lB3H9QiEIAwSmWWk,1635321692434,27991.62695,40933.91016,90.4,532,0,89,27.875,27.4,4464
-Mn-lILDkT7h8i5mroew,1635321722254,27672.60547,43215.72656,90.5,530,0,89,27.8125,27.4,4465
-Mn-lPrA8jRsUvEMgXy3,1635321753036,27719.20898,42749.24219,90.4,503,0,90,27.8125,27.3,4466
-Mn-lX7zMkIAKEBTtV3l,1635321782847,28296.97852,41380.26953,90.4,539,0,89,27.8125,27.4,4467
-Mn-ldPn8T4qYy6Lxi4d,1635321812659,28021.50977,41380.26953,90.4,545,0,89,27.8125,27.3,4468
-Mn-lkgbIi4GNkxSWNDy,1635321842471,28327.17773,42287.88281,90.4,546,0,89,27.8125,27.3,4469
-Mn-lryFsihes0Iz4QYx,1635321872273,27107.79102,43215.72656,90.5,555,0,89,27.8125,27.3,4470
-Mn-lzJ7V2bNuhS_Z4sR,1635321902345,28274.92188,40492.4375,90.7,527,0,90,27.8125,27.3,4471
-Mn-m5q5tOVcsbUE_tQZ,1635321933190,27124.48242,41831.57031,90.4,537,0,89,27.8125,27.3,4472
-Mn-mD71fss0CwZe7mBE,1635321963011,27091.11133,39196.73438,90.6,561,0,89,27.8125,27.3,4473
-Mn-mKOgqpSE7TKS88tf,1635321992812,20686.67969,28631.80664,90.6,563,0,89,27.8125,27.2,4474
-Mn-mRfOPOerT_eAwDle,1635322022617,28274.92188,43215.72656,90.7,575,0,89,27.8125,27.3,4475
-Mn-mYxRUwVOXI6JP83L,1635322052444,28274.92188,40933.91016,90.7,578,0,89,27.8125,27.3,4476
-Mn-mfETihKJai2sRmBX,1635322082270,27103.3418,42287.88281,90.7,586,0,89,27.8125,27.2,4477
-Mn-mmWW97Jg0_ZQb9Wa,1635322112097,27651.01953,41831.57031,90.8,564,0,90,27.8125,27.3,4478
-Mn-mu2QzZs3EopNxS3o,1635322142939,20863.87891,28631.80664,90.8,592,0,89,27.8125,27.3,4479
-Mn-n0KIQBb6ajyUGTxS,1635322172755,28895.29492,42749.24219,90.7,579,0,89,27.8125,27.3,4480
